,date,close,volume,keyword
1,2020-11-09,134000,576710,신풍제약
2,2020-11-06,133000,549155,신풍제약
3,2020-11-05,135000,577934,신풍제약
4,2020-11-04,134500,1204282,신풍제약
5,2020-11-03,134500,1452688,신풍제약
9,2020-11-02,126000,532258,신풍제약
10,2020-10-30,125500,663468,신풍제약
11,2020-10-29,130000,880817,신풍제약
12,2020-10-28,131000,1019478,신풍제약
13,2020-10-27,127000,2104948,신풍제약
16,2020-10-26,136500,840553,신풍제약
17,2020-10-23,139000,1847507,신풍제약
18,2020-10-22,136500,1226408,신풍제약
19,2020-10-21,135500,3452509,신풍제약
20,2020-10-20,125500,1100126,신풍제약
24,2020-10-19,128500,3029185,신풍제약
25,2020-10-16,119000,1106753,신풍제약
26,2020-10-15,125000,1648363,신풍제약
27,2020-10-14,126000,1857945,신풍제약
28,2020-10-13,122500,2159439,신풍제약
31,2020-10-12,133500,1235415,신풍제약
32,2020-10-08,140000,1333877,신풍제약
33,2020-10-07,135500,3006442,신풍제약
34,2020-10-06,134000,2832451,신풍제약
35,2020-10-05,127000,3157659,신풍제약
39,2020-09-29,126500,3151057,신풍제약
40,2020-09-28,133500,8123549,신풍제약
41,2020-09-25,136000,3873628,신풍제약
42,2020-09-24,150000,3130738,신풍제약
43,2020-09-23,165000,5349571,신풍제약
46,2020-09-22,166000,13709460,신풍제약
47,2020-09-21,193500,5504786,신풍제약
48,2020-09-18,198000,11151883,신풍제약
49,2020-09-17,152500,1274638,신풍제약
50,2020-09-16,154000,1613973,신풍제약
54,2020-09-15,146500,797504,신풍제약
55,2020-09-14,146500,1454336,신풍제약
56,2020-09-11,153500,4196887,신풍제약
57,2020-09-10,141000,1168991,신풍제약
58,2020-09-09,139500,1971294,신풍제약
61,2020-09-08,140000,1896434,신풍제약
62,2020-09-07,148500,1990166,신풍제약
63,2020-09-04,146000,3207785,신풍제약
64,2020-09-03,156500,3060054,신풍제약
65,2020-09-02,158000,5227173,신풍제약
69,2020-09-01,147000,8457244,신풍제약
70,2020-08-31,136500,8923037,신풍제약
71,2020-08-28,111000,1932901,신풍제약
72,2020-08-27,111500,2753712,신풍제약
73,2020-08-26,113000,6839845,신풍제약
76,2020-08-25,114000,8298145,신풍제약
77,2020-08-24,100500,6447748,신풍제약
78,2020-08-21,91000,2826108,신풍제약
79,2020-08-20,93200,7406541,신풍제약
80,2020-08-19,83500,2279796,신풍제약
84,2020-08-18,83500,8167164,신풍제약
85,2020-08-14,75100,2635995,신풍제약
86,2020-08-13,75100,2849271,신풍제약
87,2020-08-12,71800,2147793,신풍제약
88,2020-08-11,76900,1760964,신풍제약
91,2020-08-10,75600,1869408,신풍제약
92,2020-08-07,76100,2582484,신풍제약
93,2020-08-06,77400,3403245,신풍제약
94,2020-08-05,78700,4779936,신풍제약
95,2020-08-04,75000,4529032,신풍제약
99,2020-08-03,73500,5853424,신풍제약
100,2020-07-31,69000,9550127,신풍제약
101,2020-07-30,86000,16135343,신풍제약
102,2020-07-29,75000,13369199,신풍제약
103,2020-07-28,71600,36371681,신풍제약
106,2020-07-27,73500,17014592,신풍제약
107,2020-07-24,105000,7202366,신풍제약
108,2020-07-23,123000,0,신풍제약
109,2020-07-22,123000,8513185,신풍제약
110,2020-07-21,94900,0,신풍제약
114,2020-07-20,94900,8684128,신풍제약
115,2020-07-17,73000,10346334,신풍제약
116,2020-07-16,63100,4585122,신풍제약
117,2020-07-15,62600,8046389,신풍제약
118,2020-07-14,62500,10573019,신풍제약
121,2020-07-13,60300,13164176,신풍제약
122,2020-07-10,48650,21832615,신풍제약
123,2020-07-09,41150,8047240,신풍제약
124,2020-07-08,39400,15686852,신풍제약
125,2020-07-07,37950,28716072,신풍제약
129,2020-07-06,31050,5148966,신풍제약
130,2020-07-03,29550,3505959,신풍제약
131,2020-07-02,29300,1429912,신풍제약
132,2020-07-01,29250,2957350,신풍제약
133,2020-06-30,30200,12042952,신풍제약
136,2020-06-29,28700,1149023,신풍제약
137,2020-06-26,28950,1768899,신풍제약
138,2020-06-25,29000,2625150,신풍제약
139,2020-06-24,29000,2834069,신풍제약
140,2020-06-23,30000,3420910,신풍제약
144,2020-06-22,30200,2256345,신풍제약
145,2020-06-19,30150,4709311,신풍제약
146,2020-06-18,30750,11117553,신풍제약
147,2020-06-17,29250,6505157,신풍제약
148,2020-06-16,31700,12590696,신풍제약
151,2020-06-15,34300,28085389,신풍제약
152,2020-06-12,30500,8280166,신풍제약
153,2020-06-11,31050,15894953,신풍제약
154,2020-06-10,29450,33420484,신풍제약
155,2020-06-09,27200,25754237,신풍제약
159,2020-06-08,20950,3517948,신풍제약
160,2020-06-05,20450,4296672,신풍제약
161,2020-06-04,19950,1648839,신풍제약
162,2020-06-03,19900,2610935,신풍제약
163,2020-06-02,20600,1762211,신풍제약
166,2020-06-01,21250,2367145,신풍제약
167,2020-05-29,21700,8590829,신풍제약
168,2020-05-28,20450,2494639,신풍제약
169,2020-05-27,20600,2072955,신풍제약
170,2020-05-26,20650,3968122,신풍제약
174,2020-05-25,20200,6308524,신풍제약
175,2020-05-22,20000,1905068,신풍제약
176,2020-05-21,19950,1695377,신풍제약
177,2020-05-20,20100,2252712,신풍제약
178,2020-05-19,20150,6518378,신풍제약
181,2020-05-18,19700,3468889,신풍제약
182,2020-05-15,20300,4715851,신풍제약
183,2020-05-14,22300,12918593,신풍제약
184,2020-05-13,20100,2626899,신풍제약
185,2020-05-12,19900,3722463,신풍제약
189,2020-05-11,19250,1662202,신풍제약
190,2020-05-08,19050,1864797,신풍제약
191,2020-05-07,18950,4321497,신풍제약
192,2020-05-06,19100,10694465,신풍제약
193,2020-05-04,19250,17744790,신풍제약
196,2020-04-29,16700,2146847,신풍제약
197,2020-04-28,17050,4185905,신풍제약
198,2020-04-27,18050,2133203,신풍제약
199,2020-04-24,18200,3601160,신풍제약
200,2020-04-23,18750,4502434,신풍제약
204,2020-04-22,18700,8225601,신풍제약
205,2020-04-21,18350,9753082,신풍제약
206,2020-04-20,18950,35260557,신풍제약
207,2020-04-17,16250,16428922,신풍제약
208,2020-04-16,15800,11720117,신풍제약
211,2020-04-14,19200,14978862,신풍제약
212,2020-04-13,22000,12886870,신풍제약
213,2020-04-10,23750,23427263,신풍제약
214,2020-04-09,20450,0,신풍제약
215,2020-04-08,20450,42329057,신풍제약
219,2020-04-07,20000,0,신풍제약
220,2020-04-06,20000,3994971,신풍제약
221,2020-04-03,15400,21410786,신풍제약
222,2020-04-02,11850,13154918,신풍제약
223,2020-04-01,12150,9571806,신풍제약
